Zone,State,City,Name,Type,,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Image URL,architectural_style,,latitude,longitude
Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,,1800,1.5,4.4,80,Yes,,Historical,Yes,0.45,Morning,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Chowmahalla_Palace_01.jpg/800px-Chowmahalla_Palace_01.jpg,Persianate and European,,17.360589,78.4740613
Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,,1809,1,4.4,0,Yes,,Religious,Yes,0.5,Morning,https://www.templepurohit.com/wp-content/uploads/2015/01/Kalighat-Kali-Temple-Kolkata.jpg,Colonial Bengali,,22.5726459,88.3638953
Eastern,West Bengal,Kolkata,Marble Palace,Palace,,1835,1,4.4,0,Yes,,Historical,Yes,0.1,Afternoon,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Marble_Palace-_Kolkata-_West_Bengal-_DSC_0006.jpg/1200px-Marble_Palace-_Kolkata-_West_Bengal-_DSC_0006.jpg,Neo-Classical,,22.5726459,88.3638953
Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,,1890,2,4.4,200,Yes,Monday,Historical,Yes,0.17,Afternoon,https://upload.wikimedia.org/wikipedia/commons/b/bd/LakshmiVilas_Palace.jpg,Indo-Saracenic,,22.2973142,73.1942567
Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,,1799,1,4.4,50,Yes,,Architectural,Yes,1.3,Morning,https://upload.wikimedia.org/wikipedia/commons/4/41/East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg,Indo-Islamic architecture,,26.9154576,75.8189817
Northern,Rajasthan,Udaipur,City Palace,Palace,,1559,2,4.4,300,Yes,,Historical,Yes,0.51,All,https://upload.wikimedia.org/wikipedia/commons/a/a4/Chandra_Mahal%2C_City_Palace%2C_Jaipur%2C_20191218_0951_9043.jpg,Indo-Saracenic,,24.578721,73.6862571
Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,,1156,2.5,4.4,50,No,,Historical,Yes,0.56,All,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Jaisalmer_forteresse.jpg/1200px-Jaisalmer_forteresse.jpg,Rajput-Mughal,,26.9116615,70.9124888
Northern,Rajasthan,Pushkar,Pushkar Lake,Temple,,1400,1.5,4.4,0,No,,Religious,Yes,1.6,All,https://upload.wikimedia.org/wikipedia/commons/c/c3/Evening_lights_by_the_Pushkar_Lake%2C_Pushkar.jpg,Indian Temple Architecture,,26.4876472,74.5578484
Southern,Kerala,Kannur,St. Angelo Fort,Fort,,1505,1,4.4,20,Yes,,Historical,Yes,0.11,All,https://upload.wikimedia.org/wikipedia/commons/6/65/Malta_-_Birgu_-_Fort_Saint_Angelo_%28Upper_Barrakka_Gardens%29_01_ies.jpg,Renaissance Fortress,,11.8763836,75.3737973
Western,Maharastra,Pune,Shaniwar Wada,Fort,,1732,2,4.4,50,Yes,,Historical,Yes,1.2,All,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Shaniwar_wada_%28pune%29.jpg/1200px-Shaniwar_wada_%28pune%29.jpg,Maratha architecture,,18.5213738,73.8545071
Western,Maharastra,Lonavala,Karla Caves,Cave,,200,1.5,4.4,25,Yes,Yes,Historical,Yes,0.27,Afternoon,https://upload.wikimedia.org/wikipedia/commons/f/ff/Karla_caves_Chaitya.jpg,Chaitya hall,,18.7503694,73.4069436
Central,Madhya Pradesh,Indore,Rajwada Palace,Palace,,1747,1,4.4,10,Yes,,Historical,Yes,0.63,Afternoon,https://upload.wikimedia.org/wikipedia/commons/e/e1/Indore_Rajwada01.jpg,Indo-Saracenic,,22.7203616,75.8681996
Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,,1200,1,4.4,0,No,,Religious,Yes,0.01,All,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/bb/f0/f6/photo.jpg?w=1200&h=-1&s=1,Narmada Udgam Temple - Modern temple architecture,,22.670465,81.7588417
Northern,Himachal Pradesh,Kangra,Kangra Fort,Fort,,400,2,4.4,150,Yes,,Historical,Yes,0.1,All,https://upload.wikimedia.org/wikipedia/commons/f/f0/Kangra_Fort_%2CHimachal_Pradesh_06.jpg,Indo-Islamic,,32.0768665,76.2985872
Central,Uttar Pradesh,Lucknow,Bara Imambara,Monument,,1784,1.5,4.4,50,Yes,Monday,Historical,No,0.45,All,https://static.toiimg.com/thumb/103890956/Bara-Imambara.jpg?width=1200&height=900,Mughal and Rajput architecture,,26.8381,80.9346001
Central,Uttar Pradesh,Jhansi,Jhansi Fort,Fort,,1613,1.5,4.4,15,Yes,,Historical,Yes,0.25,All,https://upload.wikimedia.org/wikipedia/commons/e/e8/Jhansi_Fort.jpg,Bundela architecture,,25.529855,78.6527802
Central,Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Monument,,1571,2,4.4,40,Yes,,Historical,Yes,0.07,Afternoon,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Fatehput_Sikiri_Buland_Darwaza_gate_2010.jpg/800px-Fatehput_Sikiri_Buland_Darwaza_gate_2010.jpg,Indo-Islamic architecture,,27.0911655,77.6623984
Southern,Andhra Pradesh,Kurnool,Belum Caves,Cave,,"Belum Caves are a natural formation, not a constructed monument with an establishment year. Their geological formation dates back to the Precambrian era, millions of years ago.",1.5,4.4,65,Yes,,Natural Wonder,Yes,0.11,Afternoon,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/1c/95/33/group-outing-belum-caves3.jpg?w=1200&h=-1&s=1,Natural formation,,15.8309251,78.0425373
Northern,Rajasthan,Jaipur,City Palace,Palace,,1727,2,4.4,200,Yes,,Historical,Yes,0.51,Morning,https://upload.wikimedia.org/wikipedia/commons/a/a4/Chandra_Mahal%2C_City_Palace%2C_Jaipur%2C_20191218_0951_9043.jpg,Indo-Saracenic,,26.9154576,75.8189817
Western,Maharastra,Mumbai,Elephanta Caves,Monument,,1987,4,4.3,550,Yes,,Historical,Yes,0.35,All ,https://whc.unesco.org/uploads/thumbs/site_0244_0004-750-750-20100705114254.jpg,Rock-cut architecture,,19.054999,72.8692035
Southern,Karnataka,Bangalore,Bangalore Palace,Palace,,1878,2,4.2,500,Yes,Monday,Historical,Yes,0.9,Morning,https://upload.wikimedia.org/wikipedia/commons/8/8f/Bangalore_Mysore_Maharaja_Palace.jpg,Tudor Revival,,12.9767936,77.590082
Southern,Goa,Goa,Fort Aguada,Fort,,1612,1.5,4.2,0,Yes,,Historical,Yes,0.95,Morning,https://upload.wikimedia.org/wikipedia/commons/a/ad/Fort_aguada.jpg,Portuguese Colonial,,15.4989946,73.8282141
Southern,Goa,Goa,Chapora Fort,Fort,,1617,1,4.2,0,Yes,,Historical,Yes,0.19,Evening,https://upload.wikimedia.org/wikipedia/commons/3/35/Fort_Chapora_26012016.jpg,Portuguese Fort,,15.4989946,73.8282141
Central,Uttar Pradesh,Aligarh,Aligarh Fort,Fort,,1524,1,4.1,20,Yes,,Historical,Yes,0.0165,Afternoon,https://upload.wikimedia.org/wikipedia/commons/7/74/Aligarh_fort%2C_Aligarh.jpg,Indo-Islamic Fortification,,27.8761073,78.1358153
